city,date,temp_max_f,temp_min_f,precipitation_in,windspeed_max_mph,run_timestamp
Tallahassee,2026-03-26,81.3,59.4,0.0,5.2,2026-04-08T14:26:00.148807
Tallahassee,2026-03-27,80.4,63.0,0.0,9.4,2026-04-08T14:26:00.148825
Tallahassee,2026-03-28,76.6,59.7,0.0,13.5,2026-04-08T14:26:00.148830
Tallahassee,2026-03-29,71.5,55.3,0.0,11.7,2026-04-08T14:26:00.148833
Tallahassee,2026-03-30,80.6,56.0,0.0,8.3,2026-04-08T14:26:00.148836
Tallahassee,2026-03-31,82.2,61.9,0.0,10.3,2026-04-08T14:26:00.148839
Tallahassee,2026-04-01,83.9,60.2,0.0,8.8,2026-04-08T14:26:00.148842
Tallahassee,2026-04-02,83.2,62.4,0.0,8.5,2026-04-08T14:26:00.148844
Tallahassee,2026-04-03,82.8,65.8,0.0,10.0,2026-04-08T14:26:00.148846
Tallahassee,2026-04-04,83.6,64.7,0.0,11.4,2026-04-08T14:26:00.148849
Tallahassee,2026-04-05,84.9,58.8,0.0,8.9,2026-04-08T14:26:00.148851
Tallahassee,2026-04-06,69.9,56.5,3.7,11.0,2026-04-08T14:26:00.148853
Tallahassee,2026-04-07,78.4,54.4,0.0,15.9,2026-04-08T14:26:00.148856
Tallahassee,2026-04-08,74.6,57.4,0.0,17.0,2026-04-08T14:26:00.148858
Pensacola,2026-03-26,74.5,56.9,0.0,9.0,2026-04-08T14:26:00.148860
Pensacola,2026-03-27,76.8,55.6,0.0,11.5,2026-04-08T14:26:00.148863
Pensacola,2026-03-28,78.4,61.8,0.0,17.0,2026-04-08T14:26:00.148865
Pensacola,2026-03-29,68.4,61.9,0.0,19.8,2026-04-08T14:26:00.148867
Pensacola,2026-03-30,74.4,60.7,0.0,11.7,2026-04-08T14:26:00.148869
Pensacola,2026-03-31,75.6,65.4,0.0,11.8,2026-04-08T14:26:00.148871
Pensacola,2026-04-01,77.7,66.3,0.0,12.3,2026-04-08T14:26:00.148876
Pensacola,2026-04-02,76.3,65.8,0.0,13.0,2026-04-08T14:26:00.148878
Pensacola,2026-04-03,77.7,66.1,0.0,11.1,2026-04-08T14:26:00.148880
Pensacola,2026-04-04,78.9,68.1,0.0,10.9,2026-04-08T14:26:00.148882
Pensacola,2026-04-05,74.5,64.2,14.0,10.2,2026-04-08T14:26:00.148884
Pensacola,2026-04-06,63.0,54.9,0.0,13.0,2026-04-08T14:26:00.148886
Pensacola,2026-04-07,78.7,50.8,0.0,14.8,2026-04-08T14:26:00.148888
Pensacola,2026-04-08,75.9,57.3,0.0,13.0,2026-04-08T14:26:00.148890
Navarre,2026-03-26,73.3,56.2,0.0,9.9,2026-04-08T14:26:00.148892
Navarre,2026-03-27,74.2,57.9,0.0,12.1,2026-04-08T14:26:00.148895
Navarre,2026-03-28,79.5,61.7,0.0,14.9,2026-04-08T14:26:00.148897
Navarre,2026-03-29,69.9,61.3,0.0,16.0,2026-04-08T14:26:00.148899
Navarre,2026-03-30,74.3,57.6,0.0,13.9,2026-04-08T14:26:00.148901
Navarre,2026-03-31,75.7,63.5,0.0,11.8,2026-04-08T14:26:00.148903
Navarre,2026-04-01,77.8,66.2,0.0,11.8,2026-04-08T14:26:00.148905
Navarre,2026-04-02,76.9,64.6,0.0,14.5,2026-04-08T14:26:00.148907
Navarre,2026-04-03,77.6,62.5,0.0,11.9,2026-04-08T14:26:00.148910
Navarre,2026-04-04,79.0,66.7,0.0,12.0,2026-04-08T14:26:00.148912
Navarre,2026-04-05,76.9,65.0,4.0,9.4,2026-04-08T14:26:00.148914
Navarre,2026-04-06,66.0,56.5,0.0,13.4,2026-04-08T14:26:00.148916
Navarre,2026-04-07,80.6,50.6,0.0,16.8,2026-04-08T14:26:00.148918
Navarre,2026-04-08,78.2,53.8,0.0,13.7,2026-04-08T14:26:00.148920
